GL_Account,Zoho_Account_ID,Present_In_This_Settlement,Lines,Total_Debit,Total_Credit,Net
Amazon Account Fees,,Yes,1,32.09,0.0,32.09
Amazon Inbound Freight Charges,,Yes,1,321.69,0.0,321.69
Amazon.ca Clearing,,Yes,2,321.69,32.09,289.6
