GL_Account,Lines,Total_Debit,Total_Credit,Net
Amazon Account Fees,1,32.09,0.0,32.09
Amazon Inbound Freight Charges,1,321.69,0.0,321.69
Amazon.ca Clearing,2,321.69,32.09,289.6
