GL_Account,Lines,Total_Debit,Total_Credit,Net
Amazon Account Fees,1,32.09,0.0,32.09
Amazon Advertising Expense,3,1285.4699999999998,0.0,1285.47
Amazon Combined Tax Charged,3,0.0,154.26,-154.26
Amazon FBA Fulfillment Fees,212,1807.65,0.0,1807.65
Amazon Storage Expense,1,160.1,0.0,160.1
Amazon.ca Clearing,107,0.0,8518.89,-8518.89
Amazon.ca Revenue,60,0.0,254.74,-254.74
