Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 235 - Merchant Order ID: 701-7760636-0198669
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 237 - Merchant Order ID: 701-7760636-0198669
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.95,0.0,Row ID: 236 - Merchant Order ID: 701-7760636-0198669
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 217 - Merchant Order ID: 701-9652952-9949808
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.95,0.0,Row ID: 218 - Merchant Order ID: 701-9652952-9949808
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 219 - Merchant Order ID: 701-9652952-9949808
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 305 - Merchant Order ID: 702-5082669-1235459
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 303 - Merchant Order ID: 702-5082669-1235459
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 304 - Merchant Order ID: 702-5082669-1235459
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 291 - Merchant Order ID: 702-7923655-8502622
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 292 - Merchant Order ID: 702-7923655-8502622
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 293 - Merchant Order ID: 702-7923655-8502622
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 301 - Merchant Order ID: 702-2270868-4288202
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 300 - Merchant Order ID: 702-2270868-4288202
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 299 - Merchant Order ID: 702-2270868-4288202
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 240 - Merchant Order ID: 701-0191389-1137035
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 241 - Merchant Order ID: 701-0191389-1137035
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 239 - Merchant Order ID: 701-0191389-1137035
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 231 - Merchant Order ID: 701-7641265-1158631
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 232 - Merchant Order ID: 701-7641265-1158631
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 233 - Merchant Order ID: 701-7641265-1158631
2025-09-13,24391894961,both,Amazon Advertising Expense,ServiceFee/Cost of Advertising/TaxAmount,352.64,0.0,Row ID: 306 - Merchant Order ID: nan
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 296 - Merchant Order ID: 702-3293085-2583441
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 297 - Merchant Order ID: 702-3293085-2583441
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 295 - Merchant Order ID: 702-3293085-2583441
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 243 - Merchant Order ID: 702-8935554-9302633
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 244 - Merchant Order ID: 702-8935554-9302633
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 245 - Merchant Order ID: 702-8935554-9302633
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 213 - Merchant Order ID: 702-8856509-3250656
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 214 - Merchant Order ID: 702-8856509-3250656
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 215 - Merchant Order ID: 702-8856509-3250656
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,3.92,Row ID: 283 - Merchant Order ID: 702-4828738-8692211
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 282 - Merchant Order ID: 702-4828738-8692211
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 281 - Merchant Order ID: 702-4828738-8692211
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,3.92,Row ID: 280 - Merchant Order ID: 702-4828738-8692211
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 279 - Merchant Order ID: 702-4828738-8692211
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 259 - Merchant Order ID: 701-8757043-3949017
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 260 - Merchant Order ID: 701-8757043-3949017
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 261 - Merchant Order ID: 701-8757043-3949017
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 289 - Merchant Order ID: 701-9374938-0987469
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 288 - Merchant Order ID: 701-9374938-0987469
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.83,0.0,Row ID: 287 - Merchant Order ID: 701-9374938-0987469
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 286 - Merchant Order ID: 701-9374938-0987469
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 285 - Merchant Order ID: 701-9374938-0987469
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 263 - Merchant Order ID: 701-6033445-1101826
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.83,0.0,Row ID: 264 - Merchant Order ID: 701-6033445-1101826
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 265 - Merchant Order ID: 701-6033445-1101826
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 271 - Merchant Order ID: 701-2378593-5540245
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 272 - Merchant Order ID: 701-2378593-5540245
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 273 - Merchant Order ID: 701-2378593-5540245
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 253 - Merchant Order ID: 701-9354910-0482659
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 252 - Merchant Order ID: 701-9354910-0482659
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 251 - Merchant Order ID: 701-9354910-0482659
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 247 - Merchant Order ID: 702-0594927-0250631
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 248 - Merchant Order ID: 702-0594927-0250631
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 249 - Merchant Order ID: 702-0594927-0250631
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 267 - Merchant Order ID: 702-2778700-4460228
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 268 - Merchant Order ID: 702-2778700-4460228
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 269 - Merchant Order ID: 702-2778700-4460228
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 277 - Merchant Order ID: 702-9981370-3317810
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.49,0.0,Row ID: 276 - Merchant Order ID: 702-9981370-3317810
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 275 - Merchant Order ID: 702-9981370-3317810
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 229 - Merchant Order ID: 701-4521567-9775406
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.49,0.0,Row ID: 228 - Merchant Order ID: 701-4521567-9775406
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 227 - Merchant Order ID: 701-4521567-9775406
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 255 - Merchant Order ID: 701-0148205-8791470
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 257 - Merchant Order ID: 701-0148205-8791470
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 256 - Merchant Order ID: 701-0148205-8791470
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 223 - Merchant Order ID: 702-9638847-9622624
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 224 - Merchant Order ID: 702-9638847-9622624
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 221 - Merchant Order ID: 702-9638847-9622624
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,5.9,Row ID: 222 - Merchant Order ID: 702-9638847-9622624
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,5.9,Row ID: 225 - Merchant Order ID: 702-9638847-9622624
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 480 - Merchant Order ID: 702-4071942-0798647
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 479 - Merchant Order ID: 702-4071942-0798647
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,35.0,Row ID: 478 - Merchant Order ID: 702-4071942-0798647
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 454 - Merchant Order ID: 702-1130946-4169855
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 456 - Merchant Order ID: 702-1130946-4169855
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.95,0.0,Row ID: 455 - Merchant Order ID: 702-1130946-4169855
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 374 - Merchant Order ID: 702-7151359-5097815
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 370 - Merchant Order ID: 702-7151359-5097815
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 371 - Merchant Order ID: 702-7151359-5097815
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 372 - Merchant Order ID: 702-7151359-5097815
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 373 - Merchant Order ID: 702-7151359-5097815
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 361 - Merchant Order ID: 701-8336486-1261839
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 360 - Merchant Order ID: 701-8336486-1261839
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 362 - Merchant Order ID: 701-8336486-1261839
2025-09-13,24391894961,both,Amazon Advertising Expense,ServiceFee/Cost of Advertising/TaxAmount,432.45,0.0,Row ID: 496 - Merchant Order ID: nan
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,3.37,Row ID: 408 - Merchant Order ID: 701-6087343-6906636
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 404 - Merchant Order ID: 701-6087343-6906636
2025-09-13,24391894961,both,Amazon.ca Revenue,Order/Shipping,0.0,3.37,Row ID: 405 - Merchant Order ID: 701-6087343-6906636
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 406 - Merchant Order ID: 701-6087343-6906636
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 407 - Merchant Order ID: 701-6087343-6906636
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 472 - Merchant Order ID: 701-8091602-5121067
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.49,0.0,Row ID: 471 - Merchant Order ID: 701-8091602-5121067
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 470 - Merchant Order ID: 701-8091602-5121067
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 315 - Merchant Order ID: 702-7888704-0046613
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 314 - Merchant Order ID: 702-7888704-0046613
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 316 - Merchant Order ID: 702-7888704-0046613
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 475 - Merchant Order ID: 701-4837707-7785045
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 476 - Merchant Order ID: 701-4837707-7785045
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 474 - Merchant Order ID: 701-4837707-7785045
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 340 - Merchant Order ID: 701-6811859-6707413
2025-09-13,24391894961,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.68,0.0,Row ID: 339 - Merchant Order ID: 701-6811859-6707413
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 338 - Merchant Order ID: 701-6811859-6707413
2025-09-13,24391894961,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 420 - Merchant Order ID: 702-6291395-0421860
