GL_Account,Zoho_Account_ID,Present_In_This_Settlement,Lines,Total_Debit,Total_Credit,Net
Amazon Account Fees,,Yes,1,32.09,0.0,32.09
Amazon Advertising Expense,,Yes,3,1285.47,0.0,1285.47
Amazon Combined Tax Charged,,Yes,3,0.0,154.26,-154.26
Amazon FBA Fulfillment Fees,,Yes,212,1807.65,0.0,1807.65
Amazon Storage Expense,,Yes,1,160.1,0.0,160.1
Amazon.ca Clearing,,Yes,107,0.0,8518.89,-8518.89
Amazon.ca Revenue,,Yes,60,0.0,254.74,-254.74
