invoice_number,expected_total,settlement_id,zoho_total,status
AMZN6751437,35.0,23874397121,,missing_in_zoho
AMZN0001022,60.0,24288684721,,missing_in_zoho
AMZN1011436,60.0,24288684721,,missing_in_zoho
AMZN1108225,60.0,24288684721,,missing_in_zoho
AMZN1141052,60.0,24288684721,,missing_in_zoho
AMZN1371678,0.0,24288684721,,missing_in_zoho
AMZN1737843,60.0,24288684721,,missing_in_zoho
AMZN1750629,35.0,24288684721,,missing_in_zoho
AMZN2040201,60.0,24288684721,,missing_in_zoho
AMZN2315442,60.0,24288684721,,missing_in_zoho
AMZN2464206,60.0,24288684721,,missing_in_zoho
AMZN2531406,35.0,24288684721,,missing_in_zoho
AMZN2780236,60.0,24288684721,,missing_in_zoho
AMZN3899435,60.0,24288684721,,missing_in_zoho
AMZN3932270,60.0,24288684721,,missing_in_zoho
AMZN4170635,120.0,24288684721,,missing_in_zoho
AMZN4176203,60.0,24288684721,,missing_in_zoho
AMZN4274615,35.0,24288684721,,missing_in_zoho
AMZN4670666,35.0,24288684721,,missing_in_zoho
AMZN4926633,60.0,24288684721,,missing_in_zoho
AMZN4976266,60.0,24288684721,,missing_in_zoho
AMZN5082704,15.25,24288684721,,missing_in_zoho
AMZN6013037,60.0,24288684721,,missing_in_zoho
AMZN6027403,60.0,24288684721,,missing_in_zoho
AMZN6086626,120.0,24288684721,,missing_in_zoho
AMZN6596260,60.0,24288684721,,missing_in_zoho
AMZN6657829,60.0,24288684721,,missing_in_zoho
AMZN6949825,60.0,24288684721,,missing_in_zoho
AMZN7077824,60.0,24288684721,,missing_in_zoho
AMZN7561831,60.0,24288684721,,missing_in_zoho
AMZN7898625,60.0,24288684721,,missing_in_zoho
AMZN7931465,60.0,24288684721,,missing_in_zoho
AMZN8021855,60.0,24288684721,,missing_in_zoho
AMZN8278660,60.0,24288684721,,missing_in_zoho
AMZN8912250,120.0,24288684721,,missing_in_zoho
AMZN9809069,120.0,24288684721,,missing_in_zoho
AMZN9915433,60.0,24288684721,,missing_in_zoho
AMZN0046613,60.0,24391894961,,missing_in_zoho
AMZN0198669,60.0,24391894961,,missing_in_zoho
AMZN0220267,59.99,24391894961,,missing_in_zoho
AMZN0250631,35.0,24391894961,,missing_in_zoho
AMZN0346635,34.99,24391894961,,missing_in_zoho
AMZN0421860,59.99,24391894961,,missing_in_zoho
AMZN0482659,35.0,24391894961,,missing_in_zoho
AMZN0517844,59.99,24391894961,,missing_in_zoho
AMZN0669026,34.99,24391894961,,missing_in_zoho
AMZN0719458,59.99,24391894961,,missing_in_zoho
AMZN0798647,35.0,24391894961,,missing_in_zoho
AMZN0956253,59.99,24391894961,,missing_in_zoho
AMZN0987469,60.0,24391894961,,missing_in_zoho
AMZN1101826,60.0,24391894961,,missing_in_zoho
AMZN1137035,60.0,24391894961,,missing_in_zoho
AMZN1158631,35.0,24391894961,,missing_in_zoho
AMZN1222614,34.99,24391894961,,missing_in_zoho
AMZN1235459,35.0,24391894961,,missing_in_zoho
AMZN1257030,59.99,24391894961,,missing_in_zoho
AMZN1261839,60.0,24391894961,,missing_in_zoho
AMZN1658633,35.0,24391894961,,missing_in_zoho
AMZN2070628,59.99,24391894961,,missing_in_zoho
AMZN2088212,59.99,24391894961,,missing_in_zoho
AMZN2152201,59.99,24391894961,,missing_in_zoho
AMZN2281016,59.99,24391894961,,missing_in_zoho
AMZN2360215,119.98,24391894961,,missing_in_zoho
AMZN2429800,34.99,24391894961,,missing_in_zoho
AMZN2530629,34.99,24391894961,,missing_in_zoho
AMZN2583441,60.0,24391894961,,missing_in_zoho
AMZN2693034,59.99,24391894961,,missing_in_zoho
AMZN2825843,59.99,24391894961,,missing_in_zoho
AMZN2918621,59.99,24391894961,,missing_in_zoho
AMZN3023422,59.99,24391894961,,missing_in_zoho
AMZN3066651,59.99,24391894961,,missing_in_zoho
AMZN3149825,60.0,24391894961,,missing_in_zoho
AMZN3173825,34.99,24391894961,,missing_in_zoho
AMZN3250656,60.0,24391894961,,missing_in_zoho
AMZN3317810,60.0,24391894961,,missing_in_zoho
AMZN3436254,59.99,24391894961,,missing_in_zoho
AMZN3485022,59.99,24391894961,,missing_in_zoho
AMZN3845864,59.99,24391894961,,missing_in_zoho
AMZN3949017,60.0,24391894961,,missing_in_zoho
AMZN4169855,60.0,24391894961,,missing_in_zoho
AMZN4263438,59.99,24391894961,,missing_in_zoho
AMZN4288202,35.0,24391894961,,missing_in_zoho
AMZN4309067,59.99,24391894961,,missing_in_zoho
AMZN4383453,59.99,24391894961,,missing_in_zoho
AMZN4460228,60.0,24391894961,,missing_in_zoho
AMZN4664263,59.99,24391894961,,missing_in_zoho
AMZN4685033,34.99,24391894961,,missing_in_zoho
AMZN4690607,59.99,24391894961,,missing_in_zoho
AMZN4721055,59.99,24391894961,,missing_in_zoho
AMZN4901841,59.99,24391894961,,missing_in_zoho
AMZN5097815,59.99,24391894961,,missing_in_zoho
AMZN5121067,59.99,24391894961,,missing_in_zoho
AMZN5216262,59.99,24391894961,,missing_in_zoho
AMZN5232255,59.99,24391894961,,missing_in_zoho
AMZN5240248,119.98,24391894961,,missing_in_zoho
AMZN5257821,59.99,24391894961,,missing_in_zoho
AMZN5263404,59.99,24391894961,,missing_in_zoho
AMZN5289017,59.99,24391894961,,missing_in_zoho
AMZN5313846,59.99,24391894961,,missing_in_zoho
AMZN5540245,60.0,24391894961,,missing_in_zoho
AMZN5544235,59.99,24391894961,,missing_in_zoho
AMZN5584241,59.99,24391894961,,missing_in_zoho
AMZN5627437,59.99,24391894961,,missing_in_zoho
AMZN5865067,34.99,24391894961,,missing_in_zoho
AMZN5887442,59.99,24391894961,,missing_in_zoho
AMZN5897056,59.99,24391894961,,missing_in_zoho
AMZN5930661,59.99,24391894961,,missing_in_zoho
AMZN6056244,59.99,24391894961,,missing_in_zoho
AMZN6262637,94.98,24391894961,,missing_in_zoho
AMZN6467418,59.99,24391894961,,missing_in_zoho
AMZN6696215,59.99,24391894961,,missing_in_zoho
AMZN6707413,60.0,24391894961,,missing_in_zoho
AMZN6800247,34.99,24391894961,,missing_in_zoho
AMZN6860248,59.99,24391894961,,missing_in_zoho
AMZN6906636,60.0,24391894961,,missing_in_zoho
AMZN7191431,59.99,24391894961,,missing_in_zoho
AMZN7285048,59.99,24391894961,,missing_in_zoho
AMZN7293847,34.99,24391894961,,missing_in_zoho
AMZN7315405,59.99,24391894961,,missing_in_zoho
AMZN7362642,59.99,24391894961,,missing_in_zoho
AMZN7401864,59.99,24391894961,,missing_in_zoho
AMZN7613814,59.99,24391894961,,missing_in_zoho
AMZN7785045,59.99,24391894961,,missing_in_zoho
AMZN7876222,60.0,24391894961,,missing_in_zoho
AMZN7933867,34.99,24391894961,,missing_in_zoho
AMZN8097850,59.99,24391894961,,missing_in_zoho
AMZN8363444,59.99,24391894961,,missing_in_zoho
AMZN8502622,60.0,24391894961,,missing_in_zoho
AMZN8520258,59.99,24391894961,,missing_in_zoho
AMZN8692211,60.0,24391894961,,missing_in_zoho
AMZN8791470,35.0,24391894961,,missing_in_zoho
AMZN9080251,59.99,24391894961,,missing_in_zoho
AMZN9302633,60.0,24391894961,,missing_in_zoho
AMZN9365851,59.99,24391894961,,missing_in_zoho
AMZN9387418,119.98,24391894961,,missing_in_zoho
AMZN9599408,59.99,24391894961,,missing_in_zoho
AMZN9622624,60.0,24391894961,,missing_in_zoho
AMZN9657012,59.99,24391894961,,missing_in_zoho
AMZN9691467,59.99,24391894961,,missing_in_zoho
AMZN9775406,60.0,24391894961,,missing_in_zoho
AMZN9949808,60.0,24391894961,,missing_in_zoho
AMZN0000222,59.99,24495221541,,missing_in_zoho
