payment_id,payment_number,payment_amount,invoice_count,invoice_amount,difference,status
73985000000553550,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553482,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553416,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553350,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553284,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553218,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553152,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553086,,0.0,0,0.0,0.0,NO_INVOICES
73985000000553020,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552975,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552909,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552843,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552777,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552703,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552637,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552571,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552505,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552437,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552371,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552297,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552231,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552165,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552099,,0.0,0,0.0,0.0,NO_INVOICES
73985000000552033,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551954,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551888,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551822,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551756,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551690,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551624,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551558,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551492,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551424,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551358,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551292,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551226,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551160,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551092,,0.0,0,0.0,0.0,NO_INVOICES
73985000000551010,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550965,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550899,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550833,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550767,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550701,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550635,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550569,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550503,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550437,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550371,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550305,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550239,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550173,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550109,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550071,,0.0,0,0.0,0.0,NO_INVOICES
73985000000550005,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549939,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549873,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549791,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549725,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549659,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549593,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549527,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549461,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549395,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549329,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549263,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549197,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549129,,0.0,0,0.0,0.0,NO_INVOICES
73985000000549063,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548944,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548878,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548812,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548746,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548680,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548596,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548530,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548464,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548398,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548332,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548266,,0.0,0,0.0,0.0,NO_INVOICES
73985000000548200,,0.0,0,0.0,0.0,NO_INVOICES
