settlement_id,invoice_number,expected_total
24391894961,AMZN9599408,59.99
24391894961,AMZN9622624,60.0
24391894961,AMZN9657012,59.99
24391894961,AMZN9691467,59.99
24391894961,AMZN9775406,60.0
24391894961,AMZN9949808,60.0
24495221541,AMZN0000222,59.99
24495221541,AMZN0096258,59.99
24495221541,AMZN0153025,34.99
24495221541,AMZN0162615,59.99
24495221541,AMZN0169840,59.99
24495221541,AMZN0212429,0.0
24495221541,AMZN0225835,59.99
24495221541,AMZN0347405,59.99
24495221541,AMZN0381043,59.99
24495221541,AMZN0388246,119.98
24495221541,AMZN0453049,59.99
24495221541,AMZN0544239,59.99
24495221541,AMZN0566651,34.99
24495221541,AMZN0830629,34.99
24495221541,AMZN1057842,59.99
24495221541,AMZN1084235,59.99
24495221541,AMZN1088208,59.99
24495221541,AMZN1123433,59.99
24495221541,AMZN1185034,59.99
24495221541,AMZN1488267,59.99
24495221541,AMZN1633804,59.99
24495221541,AMZN1642662,59.99
24495221541,AMZN1663413,119.98
24495221541,AMZN1695428,59.99
24495221541,AMZN1731413,34.99
24495221541,AMZN1963427,59.99
24495221541,AMZN2001835,59.99
24495221541,AMZN2046639,59.99
24495221541,AMZN2082669,59.99
24495221541,AMZN2085822,59.99
24495221541,AMZN2109021,59.99
24495221541,AMZN2141003,59.99
24495221541,AMZN2141044,59.99
24495221541,AMZN2145048,59.99
24495221541,AMZN2182632,34.99
24495221541,AMZN2200218,59.99
24495221541,AMZN2265866,59.99
24495221541,AMZN2285052,59.99
24495221541,AMZN2304207,119.98
24495221541,AMZN2313806,59.99
24495221541,AMZN2406665,59.99
24495221541,AMZN2465869,59.99
24495221541,AMZN2485865,34.99
24495221541,AMZN2581828,34.99
24495221541,AMZN2585804,59.99
24495221541,AMZN2659409,34.99
24495221541,AMZN2666632,59.99
24495221541,AMZN2704219,59.99
24495221541,AMZN2709851,59.99
24495221541,AMZN2756210,34.99
24495221541,AMZN2793026,59.99
24495221541,AMZN2837823,59.99
24495221541,AMZN2928204,59.99
24495221541,AMZN2944264,59.99
24495221541,AMZN3134615,34.99
24495221541,AMZN3193069,59.99
24495221541,AMZN3241041,59.99
24495221541,AMZN3345056,59.99
24495221541,AMZN3391452,34.99
24495221541,AMZN3420261,59.99
24495221541,AMZN3571400,59.99
24495221541,AMZN3589859,59.99
24495221541,AMZN3681842,59.99
24495221541,AMZN3763410,34.99
24495221541,AMZN3885804,34.99
24495221541,AMZN3959459,59.99
24495221541,AMZN3981015,59.99
24495221541,AMZN4031465,59.99
24495221541,AMZN4052246,59.99
24495221541,AMZN4070629,34.99
24495221541,AMZN4351435,59.99
24495221541,AMZN4381035,34.99
24495221541,AMZN4394628,34.99
24495221541,AMZN4399437,59.99
24495221541,AMZN4409862,59.99
24495221541,AMZN4490604,59.99
24495221541,AMZN4562613,59.99
24495221541,AMZN4572204,34.99
24495221541,AMZN4585016,59.99
24495221541,AMZN4609019,59.99
24495221541,AMZN4853866,59.99
24495221541,AMZN4880250,59.99
24495221541,AMZN4945046,59.99
24495221541,AMZN4973052,59.99
24495221541,AMZN4976266,43.29
24495221541,AMZN5048254,59.99
24495221541,AMZN5077027,34.99
24495221541,AMZN5225065,59.99
24495221541,AMZN5307411,34.99
24495221541,AMZN5441815,34.99
24495221541,AMZN5471408,59.99
24495221541,AMZN5485855,59.99
24495221541,AMZN5508228,59.99
24495221541,AMZN5508243,59.99
24495221541,AMZN5525846,59.99
24495221541,AMZN5546652,59.99
24495221541,AMZN5566665,59.99
24495221541,AMZN5631466,94.98
24495221541,AMZN5746669,59.99
24495221541,AMZN5788226,59.99
24495221541,AMZN5878654,59.99
24495221541,AMZN6447462,59.99
24495221541,AMZN6464206,59.99
24495221541,AMZN6685035,59.99
24495221541,AMZN6690622,59.99
24495221541,AMZN6791445,59.99
24495221541,AMZN6847436,34.99
24495221541,AMZN6932254,59.99
24495221541,AMZN7052260,119.98
24495221541,AMZN7178647,59.99
24495221541,AMZN7413809,59.99
24495221541,AMZN7542648,59.99
24495221541,AMZN7641811,59.99
24495221541,AMZN7647452,59.99
24495221541,AMZN7655468,59.99
24495221541,AMZN7822628,59.99
24495221541,AMZN7907443,59.99
24495221541,AMZN7931465,43.29
24495221541,AMZN7969855,59.99
24495221541,AMZN8032216,59.99
24495221541,AMZN8068259,34.99
24495221541,AMZN8113815,59.99
24495221541,AMZN8114621,34.99
24495221541,AMZN8209028,59.99
24495221541,AMZN8264245,59.99
24495221541,AMZN8272226,59.99
24495221541,AMZN8314637,34.99
24495221541,AMZN8413841,34.99
24495221541,AMZN8455414,59.99
24495221541,AMZN8650628,34.99
24495221541,AMZN8732224,59.99
24495221541,AMZN8741861,59.99
24495221541,AMZN8897833,59.99
24495221541,AMZN8953806,34.99
24495221541,AMZN9019460,34.99
24495221541,AMZN9043428,34.99
24495221541,AMZN9073816,34.99
24495221541,AMZN9093033,59.99
24495221541,AMZN9094603,59.99
24495221541,AMZN9102603,34.99
24495221541,AMZN9274605,59.99
24495221541,AMZN9357846,34.99
24495221541,AMZN9463441,59.99
24495221541,AMZN9481808,59.99
24495221541,AMZN9489859,59.99
24495221541,AMZN9505847,34.99
24495221541,AMZN9540237,34.99
24495221541,AMZN9622613,94.98
24495221541,AMZN9693023,59.99
24495221541,AMZN9894652,59.99
24495221541,AMZN9944204,59.99
24495221541,AMZN9968203,59.99
24596907561,AMZN0259420,59.99
24596907561,AMZN0282634,59.99
24596907561,AMZN0285060,59.99
24596907561,AMZN0336257,59.99
24596907561,AMZN0350661,34.99
24596907561,AMZN0382663,59.99
24596907561,AMZN0397002,59.99
24596907561,AMZN0408214,59.99
24596907561,AMZN0414655,59.99
24596907561,AMZN0477801,119.98
24596907561,AMZN0478648,59.99
24596907561,AMZN0506661,59.99
24596907561,AMZN0551449,59.99
24596907561,AMZN0656257,34.99
24596907561,AMZN0658618,59.99
24596907561,AMZN0771415,34.99
24596907561,AMZN0845817,59.99
24596907561,AMZN1046653,59.99
24596907561,AMZN1063451,59.99
24596907561,AMZN1187448,59.99
24596907561,AMZN1211437,34.99
24596907561,AMZN1234669,59.99
24596907561,AMZN1260256,34.99
24596907561,AMZN1270630,59.99
24596907561,AMZN1389065,59.99
24596907561,AMZN1444267,34.99
24596907561,AMZN1667436,59.99
24596907561,AMZN1754644,59.99
24596907561,AMZN1880201,59.99
24596907561,AMZN1957039,34.99
24596907561,AMZN2010638,59.99
24596907561,AMZN2054639,34.99
24596907561,AMZN2184218,119.98
24596907561,AMZN2353866,59.99
24596907561,AMZN2354644,59.99
24596907561,AMZN2457844,59.99
24596907561,AMZN2589845,59.99
24596907561,AMZN2676242,59.99
24596907561,AMZN2748237,59.99
24596907561,AMZN2848216,119.98
24596907561,AMZN2863407,59.99
24596907561,AMZN2963413,59.99
24596907561,AMZN3100225,34.99
24596907561,AMZN3115461,59.99
24596907561,AMZN3124221,59.99
24596907561,AMZN3149822,59.99
24596907561,AMZN3253022,59.99
24596907561,AMZN3303457,59.99
24596907561,AMZN3310614,59.99
24596907561,AMZN3413005,34.99
24596907561,AMZN3433023,59.99
24596907561,AMZN3518636,59.99
24596907561,AMZN3619461,59.99
24596907561,AMZN3658626,59.99
24596907561,AMZN3751426,59.99
24596907561,AMZN3812211,59.99
24596907561,AMZN3860211,59.99
24596907561,AMZN4034633,59.99
24596907561,AMZN4049066,59.99
24596907561,AMZN4294604,59.99
24596907561,AMZN4352236,34.99
24596907561,AMZN4370615,34.99
24596907561,AMZN4497828,34.99
24596907561,AMZN4507460,34.99
24596907561,AMZN4514654,59.99
24596907561,AMZN4569859,34.99
24596907561,AMZN4657856,59.99
24596907561,AMZN4671456,59.99
24596907561,AMZN4688244,59.99
24596907561,AMZN4738660,59.99
24596907561,AMZN4758606,59.99
24596907561,AMZN5092255,59.99
24596907561,AMZN5100700,8.42
24596907561,AMZN5129827,119.98
24596907561,AMZN5149832,59.99
24596907561,AMZN5270639,59.99
24596907561,AMZN5303411,59.99
24596907561,AMZN5384266,34.99
24596907561,AMZN5564258,59.99
24596907561,AMZN5611425,59.99
24596907561,AMZN5665052,34.99
24596907561,AMZN5757822,179.97
24596907561,AMZN5787456,179.97
24596907561,AMZN5797868,59.99
24596907561,AMZN6040252,34.99
24596907561,AMZN6053047,34.99
24596907561,AMZN6106620,59.99
24596907561,AMZN6126618,34.99
24596907561,AMZN6361000,34.99
24596907561,AMZN6501004,59.99
24596907561,AMZN6572229,34.99
24596907561,AMZN6645035,179.97
24596907561,AMZN6671424,34.99
24596907561,AMZN6683430,59.99
24596907561,AMZN6727421,119.98
24596907561,AMZN6729807,59.99
24596907561,AMZN6766609,59.99
24596907561,AMZN6767429,59.99
24596907561,AMZN6862652,59.99
24596907561,AMZN6926639,59.99
24596907561,AMZN7071459,59.99
24596907561,AMZN7116204,59.99
24596907561,AMZN7133822,59.99
24596907561,AMZN7145054,59.99
24596907561,AMZN7229846,59.99
24596907561,AMZN7248211,59.99
24596907561,AMZN7309074,59.99
24596907561,AMZN7372200,59.99
24596907561,AMZN7492268,34.99
24596907561,AMZN7658647,59.99
24596907561,AMZN7681015,34.99
24596907561,AMZN7703462,59.99
24596907561,AMZN7859443,59.99
24596907561,AMZN7911412,59.99
24596907561,AMZN7937815,59.99
24596907561,AMZN8046643,34.99
24596907561,AMZN8120255,59.99
24596907561,AMZN8331458,34.99
24596907561,AMZN8454624,59.99
24596907561,AMZN8489020,59.99
24596907561,AMZN8502622,34.99
24596907561,AMZN8569065,59.99
24596907561,AMZN8648220,59.99
24596907561,AMZN8655404,59.99
24596907561,AMZN8748265,59.99
24596907561,AMZN8823443,59.99
24596907561,AMZN8896217,119.98
24596907561,AMZN8905857,59.99
24596907561,AMZN9155436,59.99
24596907561,AMZN9165048,59.99
24596907561,AMZN9175458,59.99
24596907561,AMZN9189046,34.99
24596907561,AMZN9250617,59.99
24596907561,AMZN9311424,119.98
24596907561,AMZN9332252,59.99
24596907561,AMZN9335477,34.99
24596907561,AMZN9426615,59.99
24596907561,AMZN9613058,59.99
24596907561,AMZN9699464,59.99
24596907561,AMZN9775446,59.99
24596907561,AMZN9830619,59.99
24596907561,AMZN9889819,59.99
24596907561,AMZN9953863,59.99
