GL_Account,Lines,Total_Debit,Total_Credit,Net
Amazon Advertising Expense,3,410.23,0.0,410.23
Amazon Combined Tax Charged,3,0.0,49.230000000000004,-49.23
Amazon FBA Fulfillment Fees,91,679.5400000000001,0.0,679.54
Amazon.ca Clearing,45,15.25,3380.71,-3365.46
Amazon.ca Revenue,12,0.0,64.64,-64.64
