GL_Account,Zoho_Account_ID,Present_In_This_Settlement,Lines,Total_Debit,Total_Credit,Net
Amazon Advertising Expense,,Yes,3,410.23,0.0,410.23
Amazon Combined Tax Charged,,Yes,3,0.0,49.23,-49.23
Amazon FBA Fulfillment Fees,,Yes,91,679.54,0.0,679.54
Amazon.ca Clearing,,Yes,45,15.25,3380.71,-3365.46
Amazon.ca Revenue,,Yes,12,0.0,64.64,-64.64
