Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-08-30,24288684721,both,Amazon.ca Clearing,Payable to Amazon,0.0,62.31,Row ID: 114 - Merchant Order ID: nan
2025-08-30,24288684721,both,Amazon.ca Clearing,Successful charge,0.0,62.31,Row ID: 117 - Merchant Order ID: nan
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.71,0.0,Row ID: 98 - Merchant Order ID: 702-1278184-4976266
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 99 - Merchant Order ID: 702-1278184-4976266
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/DigitalServicesFee,0.29,0.0,Row ID: 100 - Merchant Order ID: 702-1278184-4976266
2025-08-30,24288684721,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 97 - Merchant Order ID: 702-1278184-4976266
2025-08-30,24288684721,both,Amazon.ca Clearing,Micro Deposit,0.0,0.01,Row ID: 115 - Merchant Order ID: nan
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Refund/Commission,9.63,0.0,Row ID: 111 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Refund/DigitalServicesFee,0.29,0.0,Row ID: 113 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon.ca Clearing,Refund/Principal,0.0,60.0,Row ID: 110 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Refund/RefundCommission,1.93,0.0,Row ID: 112 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/DigitalServicesFee,0.29,0.0,Row ID: 64 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 61 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.71,0.0,Row ID: 62 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 63 - Merchant Order ID: 701-6555548-7931465
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/DigitalServicesFee,0.29,0.0,Row ID: 26 - Merchant Order ID: 701-0590237-2315442
2025-08-30,24288684721,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 23 - Merchant Order ID: 701-0590237-2315442
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 24 - Merchant Order ID: 701-0590237-2315442
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 25 - Merchant Order ID: 701-0590237-2315442
2025-08-30,24288684721,both,Amazon Advertising Expense,ServiceFee/Cost of Advertising/TaxAmount,54.08,0.0,Row ID: 118 - Merchant Order ID: nan
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/DigitalServicesFee,0.29,0.0,Row ID: 31 - Merchant Order ID: 702-7788328-2040201
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 30 - Merchant Order ID: 702-7788328-2040201
2025-08-30,24288684721,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 28 - Merchant Order ID: 702-7788328-2040201
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.68,0.0,Row ID: 29 - Merchant Order ID: 702-7788328-2040201
2025-08-30,24288684721,both,Amazon.ca Clearing,Order/Principal,0.0,60.0,Row ID: 102 - Merchant Order ID: 701-7421390-2464206
2025-08-30,24288684721,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 103 - Merchant Order ID: 701-7421390-2464206
