GL_Account,Zoho_Account_ID,Present_In_This_Settlement,Lines,Total_Debit,Total_Credit,Net
Amazon Account Fees,,Yes,1,32.09,0.0,32.09
Amazon Advertising Expense,,Yes,1,1.16,0.0,1.16
Amazon Combined Tax Charged,,Yes,1,0.0,0.14,-0.14
Amazon FBA Fulfillment Fees,,Yes,6,23.76,0.0,23.76
Amazon.ca Clearing,,Yes,5,62.31,738.38,-676.07
Amazon.ca Revenue,,Yes,2,0.0,13.98,-13.98
