settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	shipment-fee-type	shipment-fee-amount	order-fee-type	order-fee-amount	fulfillment-id	posted-date	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	price-type	price-amount	item-related-fee-type	item-related-fee-amount	misc-fee-amount	other-fee-amount	other-fee-reason-description	promotion-id	promotion-type	promotion-amount	direct-payment-type	direct-payment-amount	other-amount
24702193891	2025-10-09T22:07:18+00:00	2025-10-23T22:07:18+00:00	2025-10-25T22:07:18+00:00	10015.64	CAD																														
24702193891						Order	701-6037469-3275410	701-6037469-3275410		B4PY6l78j	Amazon.ca					AFN	2025-10-10T10:20:02+00:00	140892665623281			SALTT30-ULTA	1													
24702193891						Order	701-6037469-3275410	701-6037469-3275410		B4PY6l78j	Amazon.ca					AFN	2025-10-10T10:20:02+00:00	140892665623281			SALTT30-ULTA		Principal	59.99											
24702193891						Order	701-6037469-3275410	701-6037469-3275410		B4PY6l78j	Amazon.ca					AFN	2025-10-10T10:20:02+00:00	140892665623281			SALTT30-ULTA				FBAPerUnitFulfillmentFee	-8.25									
24702193891						Order	701-6037469-3275410	701-6037469-3275410		B4PY6l78j	Amazon.ca					AFN	2025-10-10T10:20:02+00:00	140892665623281			SALTT30-ULTA				Commission	-9.63									
24702193891						Order	702-4216585-2550641	702-4216585-2550641		BhyPqpMLf	Amazon.ca					AFN	2025-10-12T15:24:46+00:00	141278268754641			SALTT30-ULTA	1													
24702193891						Order	702-4216585-2550641	702-4216585-2550641		BhyPqpMLf	Amazon.ca					AFN	2025-10-12T15:24:46+00:00	141278268754641			SALTT30-ULTA		Principal	59.99											
24702193891						Order	702-4216585-2550641	702-4216585-2550641		BhyPqpMLf	Amazon.ca					AFN	2025-10-12T15:24:46+00:00	141278268754641			SALTT30-ULTA		Shipping	3.50											
24702193891						Order	702-4216585-2550641	702-4216585-2550641		BhyPqpMLf	Amazon.ca					AFN	2025-10-12T15:24:46+00:00	141278268754641			SALTT30-ULTA				FBAPerUnitFulfillmentFee	-8.25									
24702193891						Order	702-4216585-2550641	702-4216585-2550641		BhyPqpMLf	Amazon.ca					AFN	2025-10-12T15:24:46+00:00	141278268754641			SALTT30-ULTA				Commission	-9.63									
24702193891						Order	702-4216585-2550641	702-4216585-2550641		BhyPqpMLf	Amazon.ca					AFN	2025-10-12T15:24:46+00:00	141278268754641			SALTT30-ULTA										Shipping	-3.50			
24702193891						Order	701-5621050-3125012	701-5621050-3125012		BWW4gDFkj	Amazon.ca					AFN	2025-10-10T14:32:49+00:00	140953333671201			SALTT30-CHRY	1													
24702193891						Order	701-5621050-3125012	701-5621050-3125012		BWW4gDFkj	Amazon.ca					AFN	2025-10-10T14:32:49+00:00	140953333671201			SALTT30-CHRY		Principal	59.99											
24702193891						Order	701-5621050-3125012	701-5621050-3125012		BWW4gDFkj	Amazon.ca					AFN	2025-10-10T14:32:49+00:00	140953333671201			SALTT30-CHRY				FBAPerUnitFulfillmentFee	-7.95									
24702193891						Order	701-5621050-3125012	701-5621050-3125012		BWW4gDFkj	Amazon.ca					AFN	2025-10-10T14:32:49+00:00	140953333671201			SALTT30-CHRY				Commission	-9.63									
24702193891						Order	702-1936027-8145801	702-1936027-8145801		BBTBcvQFf	Amazon.ca					AFN	2025-10-12T01:50:07+00:00	141180190644841			SALTT30-BLUE	1													
24702193891						Order	702-1936027-8145801	702-1936027-8145801		BBTBcvQFf	Amazon.ca					AFN	2025-10-12T01:50:07+00:00	141180190644841			SALTT30-BLUE		Principal	59.99											
24702193891						Order	702-1936027-8145801	702-1936027-8145801		BBTBcvQFf	Amazon.ca					AFN	2025-10-12T01:50:07+00:00	141180190644841			SALTT30-BLUE		Shipping	3.50											
24702193891						Order	702-1936027-8145801	702-1936027-8145801		BBTBcvQFf	Amazon.ca					AFN	2025-10-12T01:50:07+00:00	141180190644841			SALTT30-BLUE				FBAPerUnitFulfillmentFee	-8.25									
24702193891						Order	702-1936027-8145801	702-1936027-8145801		BBTBcvQFf	Amazon.ca					AFN	2025-10-12T01:50:07+00:00	141180190644841			SALTT30-BLUE				Commission	-9.63									
24702193891						Order	702-1936027-8145801	702-1936027-8145801		BBTBcvQFf	Amazon.ca					AFN	2025-10-12T01:50:07+00:00	141180190644841			SALTT30-BLUE										Shipping	-3.50			
24702193891						Order	702-1168313-6321003	702-1168313-6321003		B73Pr00zf	Amazon.ca					AFN	2025-10-11T15:11:16+00:00	141074803743561			SALTT30-CLEN	1													
24702193891						Order	702-1168313-6321003	702-1168313-6321003		B73Pr00zf	Amazon.ca					AFN	2025-10-11T15:11:16+00:00	141074803743561			SALTT30-CLEN		Principal	59.99											
24702193891						Order	702-1168313-6321003	702-1168313-6321003		B73Pr00zf	Amazon.ca					AFN	2025-10-11T15:11:16+00:00	141074803743561			SALTT30-CLEN				FBAPerUnitFulfillmentFee	-8.25									
24702193891						Order	702-1168313-6321003	702-1168313-6321003		B73Pr00zf	Amazon.ca					AFN	2025-10-11T15:11:16+00:00	141074803743561			SALTT30-CLEN				Commission	-9.63									
24702193891						Order	702-1673458-4484260	702-1673458-4484260		BxpHrmnGf	Amazon.ca					AFN	2025-10-10T15:09:35+00:00	141005914409721			SALTT30-ULTA	1													
24702193891						Order	702-1673458-4484260	702-1673458-4484260		BxpHrmnGf	Amazon.ca					AFN	2025-10-10T15:09:35+00:00	141005914409721			SALTT30-ULTA		Principal	59.99											
