settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	shipment-fee-type	shipment-fee-amount	order-fee-type	order-fee-amount	fulfillment-id	posted-date	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	price-type	price-amount	item-related-fee-type	item-related-fee-amount	misc-fee-amount	other-fee-amount	other-fee-reason-description	promotion-id	promotion-type	promotion-amount	direct-payment-type	direct-payment-amount	other-amount
24495221541	2025-09-11T22:07:19+00:00	2025-09-25T22:07:18+00:00	2025-09-27T22:07:18+00:00	4630.23	CAD																														
24495221541						Order	701-5738750-0566651	701-5738750-0566651		Bh8fNdmQg	Amazon.ca					AFN	2025-09-13T06:20:55+00:00	138330985480561			SALTT15-ALLT	1													
24495221541						Order	701-5738750-0566651	701-5738750-0566651		Bh8fNdmQg	Amazon.ca					AFN	2025-09-13T06:20:55+00:00	138330985480561			SALTT15-ALLT		Principal	34.99											
24495221541						Order	701-5738750-0566651	701-5738750-0566651		Bh8fNdmQg	Amazon.ca					AFN	2025-09-13T06:20:55+00:00	138330985480561			SALTT15-ALLT				FBAPerUnitFulfillmentFee	-6.12									
24495221541						Order	701-5738750-0566651	701-5738750-0566651		Bh8fNdmQg	Amazon.ca					AFN	2025-09-13T06:20:55+00:00	138330985480561			SALTT15-ALLT				Commission	-5.62									
24495221541						Order	702-4520985-6791445	702-4520985-6791445		BfRk4SG95	Amazon.ca					AFN	2025-09-16T05:09:30+00:00	138599786762481			SALTT30-FRUT	1													
24495221541						Order	702-4520985-6791445	702-4520985-6791445		BfRk4SG95	Amazon.ca					AFN	2025-09-16T05:09:30+00:00	138599786762481			SALTT30-FRUT		Principal	59.99											
24495221541						Order	702-4520985-6791445	702-4520985-6791445		BfRk4SG95	Amazon.ca					AFN	2025-09-16T05:09:30+00:00	138599786762481			SALTT30-FRUT		Shipping	6.99											
24495221541						Order	702-4520985-6791445	702-4520985-6791445		BfRk4SG95	Amazon.ca					AFN	2025-09-16T05:09:30+00:00	138599786762481			SALTT30-FRUT				FBAPerUnitFulfillmentFee	-8.68									
24495221541						Order	702-4520985-6791445	702-4520985-6791445		BfRk4SG95	Amazon.ca					AFN	2025-09-16T05:09:30+00:00	138599786762481			SALTT30-FRUT				Commission	-9.63									
24495221541						Order	702-4520985-6791445	702-4520985-6791445		BfRk4SG95	Amazon.ca					AFN	2025-09-16T05:09:30+00:00	138599786762481			SALTT30-FRUT										Shipping	-6.99			
24495221541						Order	702-5331135-4973052	702-5331135-4973052		BhVMJJv4g	Amazon.ca					AFN	2025-09-15T10:25:27+00:00	138447841163561			SALTT30-GRPF	1													
24495221541						Order	702-5331135-4973052	702-5331135-4973052		BhVMJJv4g	Amazon.ca					AFN	2025-09-15T10:25:27+00:00	138447841163561			SALTT30-GRPF		Principal	59.99											
24495221541						Order	702-5331135-4973052	702-5331135-4973052		BhVMJJv4g	Amazon.ca					AFN	2025-09-15T10:25:27+00:00	138447841163561			SALTT30-GRPF				FBAPerUnitFulfillmentFee	-8.25									
24495221541						Order	702-5331135-4973052	702-5331135-4973052		BhVMJJv4g	Amazon.ca					AFN	2025-09-15T10:25:27+00:00	138447841163561			SALTT30-GRPF				Commission	-9.63									
