GL_Account,Lines,Total_Debit,Total_Credit,Net
Amazon Account Fees,1,32.09,0.0,32.09
Amazon Advertising Expense,4,1687.8100000000002,0.0,1687.81
Amazon Combined Tax Charged,4,0.0,202.54,-202.54
Amazon FBA Fulfillment Fees,304,2583.55,0.0,2583.55
Amazon Storage Expense,1,156.64,0.0,156.64
Amazon.ca Clearing,154,8.42,12442.69,-12434.27
Amazon.ca Revenue,70,0.0,333.36,-333.36
