Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1909 - Merchant Order ID: 702-5714090-0845817
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1912 - Merchant Order ID: 702-5714090-0845817
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 2073 - Merchant Order ID: 701-2638443-4671456
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2069 - Merchant Order ID: 701-2638443-4671456
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 2070 - Merchant Order ID: 701-2638443-4671456
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 2071 - Merchant Order ID: 701-2638443-4671456
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2072 - Merchant Order ID: 701-2638443-4671456
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,2.33,Row ID: 2079 - Merchant Order ID: 702-3051588-1667436
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,2.33,Row ID: 2076 - Merchant Order ID: 702-3051588-1667436
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 2077 - Merchant Order ID: 702-3051588-1667436
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2078 - Merchant Order ID: 702-3051588-1667436
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2075 - Merchant Order ID: 702-3051588-1667436
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.71,0.0,Row ID: 2048 - Merchant Order ID: 701-7502246-7133822
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2049 - Merchant Order ID: 701-7502246-7133822
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2047 - Merchant Order ID: 701-7502246-7133822
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 2114 - Merchant Order ID: 702-1567682-1957039
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 2113 - Merchant Order ID: 702-1567682-1957039
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 2115 - Merchant Order ID: 702-1567682-1957039
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2105 - Merchant Order ID: 702-2182287-6767429
