Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,3.15,Row ID: 896 - Merchant Order ID: 701-1561694-8455414
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 895 - Merchant Order ID: 701-1561694-8455414
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 897 - Merchant Order ID: 701-1561694-8455414
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 898 - Merchant Order ID: 701-1561694-8455414
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/ShippingChargeback,0.0,3.15,Row ID: 899 - Merchant Order ID: 701-1561694-8455414
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 757 - Merchant Order ID: 702-7493164-2085822
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 758 - Merchant Order ID: 702-7493164-2085822
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,1.4,Row ID: 759 - Merchant Order ID: 702-7493164-2085822
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 755 - Merchant Order ID: 702-7493164-2085822
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,1.4,Row ID: 756 - Merchant Order ID: 702-7493164-2085822
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 829 - Merchant Order ID: 701-0351518-0169840
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 826 - Merchant Order ID: 701-0351518-0169840
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 827 - Merchant Order ID: 701-0351518-0169840
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 828 - Merchant Order ID: 701-0351518-0169840
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 825 - Merchant Order ID: 701-0351518-0169840
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 887 - Merchant Order ID: 702-3645653-8114621
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 888 - Merchant Order ID: 702-3645653-8114621
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 889 - Merchant Order ID: 702-3645653-8114621
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 775 - Merchant Order ID: 702-8503602-9102603
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 777 - Merchant Order ID: 702-8503602-9102603
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 776 - Merchant Order ID: 702-8503602-9102603
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.49,0.0,Row ID: 723 - Merchant Order ID: 702-9498794-3241041
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,3.92,Row ID: 722 - Merchant Order ID: 702-9498794-3241041
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 721 - Merchant Order ID: 702-9498794-3241041
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 724 - Merchant Order ID: 702-9498794-3241041
2025-09-27,24495221541,both,Amazon.ca Revenue,Order/Shipping,0.0,3.92,Row ID: 725 - Merchant Order ID: 702-9498794-3241041
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 705 - Merchant Order ID: 701-5738750-0566651
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 704 - Merchant Order ID: 701-5738750-0566651
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 703 - Merchant Order ID: 701-5738750-0566651
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 877 - Merchant Order ID: 701-8051225-4381035
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 875 - Merchant Order ID: 701-8051225-4381035
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 876 - Merchant Order ID: 701-8051225-4381035
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 847 - Merchant Order ID: 701-1013336-6690622
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 846 - Merchant Order ID: 701-1013336-6690622
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 845 - Merchant Order ID: 701-1013336-6690622
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 773 - Merchant Order ID: 701-9586212-7178647
2025-09-27,24495221541,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 772 - Merchant Order ID: 701-9586212-7178647
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 771 - Merchant Order ID: 701-9586212-7178647
2025-09-27,24495221541,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 931 - Merchant Order ID: 701-7746988-9481808
